ID,Kp_Level,Kp_Range,Bz_Level,Bz_Range,Bt_Level,Bt_Range,Speed_Level,Speed_Range,Density_Level,Density_Range,Aurora_Probability_%,Aurora_Type,Aurora_Colors,Aurora_Structure,Latitude_Reach_°,Duration_Hours,Verdict_Category,Physics_Flag,Physics_Notes,Likelihood,Alert_Level,Viewing_Tip
1,Quiet,0-2,Strong Northward,>+10 nT,Very Weak,<5 nT,Slow,<400 km/s,Very Low,<3 p/cm³,0.3,,,,>70°,0,⚫ NO AURORA,✅ PHYSICALLY VALID,Normal conditions,Very unlikely (0-10%),QUIET: No Activity,"Possible Theta Aurora (polar cap only, >75° latitude)"
2,Quiet,0-2,Strong Northward,>+10 nT,Very Weak,<5 nT,Slow,<400 km/s,Low,3-7 p/cm³,0.3,,,,>70°,0,⚫ NO AURORA,✅ PHYSICALLY VALID,Normal conditions,Very unlikely (0-10%),QUIET: No Activity,"Possible Theta Aurora (polar cap only, >75° latitude)"
3,Quiet,0-2,Strong Northward,>+10 nT,Very Weak,<5 nT,Slow,<400 km/s,Normal,7-15 p/cm³,0.3,,,,>70°,0,⚫ NO AURORA,✅ PHYSICALLY VALID,Normal conditions,Very unlikely (0-10%),QUIET: No Activity,"Possible Theta Aurora (polar cap only, >75° latitude)"
4,Quiet,0-2,Strong Northward,>+10 nT,Very Weak,<5 nT,Slow,<400 km/s,High,15-25 p/cm³,0.4,,,,>70°,0,⚫ NO AURORA,✅ PHYSICALLY VALID,Normal conditions,Very unlikely (0-10%),QUIET: No Activity,"Possible Theta Aurora (polar cap only, >75° latitude)"
5,Quiet,0-2,Strong Northward,>+10 nT,Very Weak,<5 nT,Slow,<400 km/s,Very High,>25 p/cm³,0.4,,,,>70°,0,⚫ NO AURORA,⚠️ RARE BUT POSSIBLE,UNUSUAL: High density with slow speed,Very unlikely (0-10%),QUIET: No Activity,"Possible Theta Aurora (polar cap only, >75° latitude)"
6,Quiet,0-2,Strong Northward,>+10 nT,Very Weak,<5 nT,Moderate,400-500 km/s,Very Low,<3 p/cm³,0.4,,,,>70°,0,⚫ NO AURORA,✅ PHYSICALLY VALID,Normal conditions,Very unlikely (0-10%),QUIET: No Activity,"Possible Theta Aurora (polar cap only, >75° latitude)"
7,Quiet,0-2,Strong Northward,>+10 nT,Very Weak,<5 nT,Moderate,400-500 km/s,Low,3-7 p/cm³,0.4,,,,>70°,0,⚫ NO AURORA,✅ PHYSICALLY VALID,Normal conditions,Very unlikely (0-10%),QUIET: No Activity,"Possible Theta Aurora (polar cap only, >75° latitude)"
8,Quiet,0-2,Strong Northward,>+10 nT,Very Weak,<5 nT,Moderate,400-500 km/s,Normal,7-15 p/cm³,0.4,,,,>70°,0,⚫ NO AURORA,✅ PHYSICALLY VALID,Normal conditions,Very unlikely (0-10%),QUIET: No Activity,"Possible Theta Aurora (polar cap only, >75° latitude)"
9,Quiet,0-2,Strong Northward,>+10 nT,Very Weak,<5 nT,Moderate,400-500 km/s,High,15-25 p/cm³,0.5,,,,>70°,0,⚫ NO AURORA,✅ PHYSICALLY VALID,Normal conditions,Very unlikely (0-10%),QUIET: No Activity,"Possible Theta Aurora (polar cap only, >75° latitude)"
10,Quiet,0-2,Strong Northward,>+10 nT,Very Weak,<5 nT,Moderate,400-500 km/s,Very High,>25 p/cm³,0.5,,,,>70°,0,⚫ NO AURORA,✅ PHYSICALLY VALID,Normal conditions,Very unlikely (0-10%),QUIET: No Activity,"Possible Theta Aurora (polar cap only, >75° latitude)"
11,Quiet,0-2,Strong Northward,>+10 nT,Very Weak,<5 nT,Fast,500-650 km/s,Very Low,<3 p/cm³,0.5,,,,>70°,0,⚫ NO AURORA,✅ PHYSICALLY VALID,Normal conditions,Very unlikely (0-10%),QUIET: No Activity,"Possible Theta Aurora (polar cap only, >75° latitude)"
12,Quiet,0-2,Strong Northward,>+10 nT,Very Weak,<5 nT,Fast,500-650 km/s,Low,3-7 p/cm³,0.5,,,,>70°,0,⚫ NO AURORA,✅ PHYSICALLY VALID,Normal conditions,Very unlikely (0-10%),QUIET: No Activity,"Possible Theta Aurora (polar cap only, >75° latitude)"
13,Quiet,0-2,Strong Northward,>+10 nT,Very Weak,<5 nT,Fast,500-650 km/s,Normal,7-15 p/cm³,0.6,,,,>70°,0,⚫ NO AURORA,✅ PHYSICALLY VALID,Normal conditions,Very unlikely (0-10%),QUIET: No Activity,"Possible Theta Aurora (polar cap only, >75° latitude)"
14,Quiet,0-2,Strong Northward,>+10 nT,Very Weak,<5 nT,Fast,500-650 km/s,High,15-25 p/cm³,0.6,,,,>70°,0,⚫ NO AURORA,✅ PHYSICALLY VALID,Normal conditions,Very unlikely (0-10%),QUIET: No Activity,"Possible Theta Aurora (polar cap only, >75° latitude)"
15,Quiet,0-2,Strong Northward,>+10 nT,Very Weak,<5 nT,Fast,500-650 km/s,Very High,>25 p/cm³,0.6,,,,>70°,0,⚫ NO AURORA,✅ PHYSICALLY VALID,Normal conditions,Very unlikely (0-10%),QUIET: No Activity,"Possible Theta Aurora (polar cap only, >75° latitude)"
16,Quiet,0-2,Strong Northward,>+10 nT,Very Weak,<5 nT,Very Fast,650-800 km/s,Very Low,<3 p/cm³,0.6,,,,>70°,0,⚫ NO AURORA,✅ PHYSICALLY VALID,Normal conditions,Very unlikely (0-10%),QUIET: No Activity,"Possible Theta Aurora (polar cap only, >75° latitude)"
17,Quiet,0-2,Strong Northward,>+10 nT,Very Weak,<5 nT,Very Fast,650-800 km/s,Low,3-7 p/cm³,0.6,,,,>70°,0,⚫ NO AURORA,✅ PHYSICALLY VALID,Normal conditions,Very unlikely (0-10%),QUIET: No Activity,"Possible Theta Aurora (polar cap only, >75° latitude)"
18,Quiet,0-2,Strong Northward,>+10 nT,Very Weak,<5 nT,Very Fast,650-800 km/s,Normal,7-15 p/cm³,0.7,,,,>70°,0,⚫ NO AURORA,✅ PHYSICALLY VALID,Normal conditions,Very unlikely (0-10%),QUIET: No Activity,"Possible Theta Aurora (polar cap only, >75° latitude)"
19,Quiet,0-2,Strong Northward,>+10 nT,Very Weak,<5 nT,Very Fast,650-800 km/s,High,15-25 p/cm³,0.7,,,,>70°,0,⚫ NO AURORA,✅ PHYSICALLY VALID,Normal conditions,Very unlikely (0-10%),QUIET: No Activity,"Possible Theta Aurora (polar cap only, >75° latitude)"
20,Quiet,0-2,Strong Northward,>+10 nT,Very Weak,<5 nT,Very Fast,650-800 km/s,Very High,>25 p/cm³,0.8,,,,>70°,0,⚫ NO AURORA,✅ PHYSICALLY VALID,Normal conditions,Very unlikely (0-10%),QUIET: No Activity,"Possible Theta Aurora (polar cap only, >75° latitude)"
21,Quiet,0-2,Strong Northward,>+10 nT,Very Weak,<5 nT,Extreme,>800 km/s,Very Low,<3 p/cm³,0.8,,,,>70°,0,⚫ NO AURORA,⚠️ RARE BUT POSSIBLE,RARE: Extreme speed with low density (rarefied HSS),Very unlikely (0-10%),QUIET: No Activity,"Possible Theta Aurora (polar cap only, >75° latitude)"
22,Quiet,0-2,Strong Northward,>+10 nT,Very Weak,<5 nT,Extreme,>800 km/s,Low,3-7 p/cm³,0.8,,,,>70°,0,⚫ NO AURORA,✅ PHYSICALLY VALID,Normal conditions,Very unlikely (0-10%),QUIET: No Activity,"Possible Theta Aurora (polar cap only, >75° latitude)"
23,Quiet,0-2,Strong Northward,>+10 nT,Very Weak,<5 nT,Extreme,>800 km/s,Normal,7-15 p/cm³,0.8,,,,>70°,0,⚫ NO AURORA,✅ PHYSICALLY VALID,Normal conditions,Very unlikely (0-10%),QUIET: No Activity,"Possible Theta Aurora (polar cap only, >75° latitude)"
24,Quiet,0-2,Strong Northward,>+10 nT,Very Weak,<5 nT,Extreme,>800 km/s,High,15-25 p/cm³,0.9,,,,>70°,0,⚫ NO AURORA,✅ PHYSICALLY VALID,Normal conditions,Very unlikely (0-10%),QUIET: No Activity,"Possible Theta Aurora (polar cap only, >75° latitude)"
25,Quiet,0-2,Strong Northward,>+10 nT,Very Weak,<5 nT,Extreme,>800 km/s,Very High,>25 p/cm³,1.0,,,,>70°,0,⚫ NO AURORA,✅ PHYSICALLY VALID,Normal conditions,Very unlikely (0-10%),QUIET: No Activity,"Possible Theta Aurora (polar cap only, >75° latitude)"
26,Quiet,0-2,Strong Northward,>+10 nT,Weak,5-10 nT,Slow,<400 km/s,Very Low,<3 p/cm³,0.4,,,,>70°,0,⚫ NO AURORA,✅ PHYSICALLY VALID,Normal conditions,Very unlikely (0-10%),QUIET: No Activity,"Possible Theta Aurora (polar cap only, >75° latitude)"
27,Quiet,0-2,Strong Northward,>+10 nT,Weak,5-10 nT,Slow,<400 km/s,Low,3-7 p/cm³,0.4,,,,>70°,0,⚫ NO AURORA,✅ PHYSICALLY VALID,Normal conditions,Very unlikely (0-10%),QUIET: No Activity,"Possible Theta Aurora (polar cap only, >75° latitude)"
28,Quiet,0-2,Strong Northward,>+10 nT,Weak,5-10 nT,Slow,<400 km/s,Normal,7-15 p/cm³,0.4,,,,>70°,0,⚫ NO AURORA,✅ PHYSICALLY VALID,Normal conditions,Very unlikely (0-10%),QUIET: No Activity,"Possible Theta Aurora (polar cap only, >75° latitude)"
29,Quiet,0-2,Strong Northward,>+10 nT,Weak,5-10 nT,Slow,<400 km/s,High,15-25 p/cm³,0.4,,,,>70°,0,⚫ NO AURORA,✅ PHYSICALLY VALID,Normal conditions,Very unlikely (0-10%),QUIET: No Activity,"Possible Theta Aurora (polar cap only, >75° latitude)"
30,Quiet,0-2,Strong Northward,>+10 nT,Weak,5-10 nT,Slow,<400 km/s,Very High,>25 p/cm³,0.5,,,,>70°,0,⚫ NO AURORA,⚠️ RARE BUT POSSIBLE,UNUSUAL: High density with slow speed,Very unlikely (0-10%),QUIET: No Activity,"Possible Theta Aurora (polar cap only, >75° latitude)"
31,Quiet,0-2,Strong Northward,>+10 nT,Weak,5-10 nT,Moderate,400-500 km/s,Very Low,<3 p/cm³,0.5,,,,>70°,0,⚫ NO AURORA,✅ PHYSICALLY VALID,Normal conditions,Very unlikely (0-10%),QUIET: No Activity,"Possible Theta Aurora (polar cap only, >75° latitude)"
32,Quiet,0-2,Strong Northward,>+10 nT,Weak,5-10 nT,Moderate,400-500 km/s,Low,3-7 p/cm³,0.5,,,,>70°,0,⚫ NO AURORA,✅ PHYSICALLY VALID,Normal conditions,Very unlikely (0-10%),QUIET: No Activity,"Possible Theta Aurora (polar cap only, >75° latitude)"
33,Quiet,0-2,Strong Northward,>+10 nT,Weak,5-10 nT,Moderate,400-500 km/s,Normal,7-15 p/cm³,0.5,,,,>70°,0,⚫ NO AURORA,✅ PHYSICALLY VALID,Normal conditions,Very unlikely (0-10%),QUIET: No Activity,"Possible Theta Aurora (polar cap only, >75° latitude)"
34,Quiet,0-2,Strong Northward,>+10 nT,Weak,5-10 nT,Moderate,400-500 km/s,High,15-25 p/cm³,0.6,,,,>70°,0,⚫ NO AURORA,✅ PHYSICALLY VALID,Normal conditions,Very unlikely (0-10%),QUIET: No Activity,"Possible Theta Aurora (polar cap only, >75° latitude)"
35,Quiet,0-2,Strong Northward,>+10 nT,Weak,5-10 nT,Moderate,400-500 km/s,Very High,>25 p/cm³,0.6,,,,>70°,0,⚫ NO AURORA,✅ PHYSICALLY VALID,Normal conditions,Very unlikely (0-10%),QUIET: No Activity,"Possible Theta Aurora (polar cap only, >75° latitude)"
36,Quiet,0-2,Strong Northward,>+10 nT,Weak,5-10 nT,Fast,500-650 km/s,Very Low,<3 p/cm³,0.6,,,,>70°,0,⚫ NO AURORA,✅ PHYSICALLY VALID,Normal conditions,Very unlikely (0-10%),QUIET: No Activity,"Possible Theta Aurora (polar cap only, >75° latitude)"
37,Quiet,0-2,Strong Northward,>+10 nT,Weak,5-10 nT,Fast,500-650 km/s,Low,3-7 p/cm³,0.6,,,,>70°,0,⚫ NO AURORA,✅ PHYSICALLY VALID,Normal conditions,Very unlikely (0-10%),QUIET: No Activity,"Possible Theta Aurora (polar cap only, >75° latitude)"
38,Quiet,0-2,Strong Northward,>+10 nT,Weak,5-10 nT,Fast,500-650 km/s,Normal,7-15 p/cm³,0.7,,,,>70°,0,⚫ NO AURORA,✅ PHYSICALLY VALID,Normal conditions,Very unlikely (0-10%),QUIET: No Activity,"Possible Theta Aurora (polar cap only, >75° latitude)"
39,Quiet,0-2,Strong Northward,>+10 nT,Weak,5-10 nT,Fast,500-650 km/s,High,15-25 p/cm³,0.7,,,,>70°,0,⚫ NO AURORA,✅ PHYSICALLY VALID,Normal conditions,Very unlikely (0-10%),QUIET: No Activity,"Possible Theta Aurora (polar cap only, >75° latitude)"
40,Quiet,0-2,Strong Northward,>+10 nT,Weak,5-10 nT,Fast,500-650 km/s,Very High,>25 p/cm³,0.7,,,,>70°,0,⚫ NO AURORA,✅ PHYSICALLY VALID,Normal conditions,Very unlikely (0-10%),QUIET: No Activity,"Possible Theta Aurora (polar cap only, >75° latitude)"
41,Quiet,0-2,Strong Northward,>+10 nT,Weak,5-10 nT,Very Fast,650-800 km/s,Very Low,<3 p/cm³,0.7,,,,>70°,0,⚫ NO AURORA,✅ PHYSICALLY VALID,Normal conditions,Very unlikely (0-10%),QUIET: No Activity,"Possible Theta Aurora (polar cap only, >75° latitude)"
42,Quiet,0-2,Strong Northward,>+10 nT,Weak,5-10 nT,Very Fast,650-800 km/s,Low,3-7 p/cm³,0.8,,,,>70°,0,⚫ NO AURORA,✅ PHYSICALLY VALID,Normal conditions,Very unlikely (0-10%),QUIET: No Activity,"Possible Theta Aurora (polar cap only, >75° latitude)"
43,Quiet,0-2,Strong Northward,>+10 nT,Weak,5-10 nT,Very Fast,650-800 km/s,Normal,7-15 p/cm³,0.8,,,,>70°,0,⚫ NO AURORA,✅ PHYSICALLY VALID,Normal conditions,Very unlikely (0-10%),QUIET: No Activity,"Possible Theta Aurora (polar cap only, >75° latitude)"
44,Quiet,0-2,Strong Northward,>+10 nT,Weak,5-10 nT,Very Fast,650-800 km/s,High,15-25 p/cm³,0.9,,,,>70°,0,⚫ NO AURORA,✅ PHYSICALLY VALID,Normal conditions,Very unlikely (0-10%),QUIET: No Activity,"Possible Theta Aurora (polar cap only, >75° latitude)"
45,Quiet,0-2,Strong Northward,>+10 nT,Weak,5-10 nT,Very Fast,650-800 km/s,Very High,>25 p/cm³,0.9,,,,>70°,0,⚫ NO AURORA,✅ PHYSICALLY VALID,Normal conditions,Very unlikely (0-10%),QUIET: No Activity,"Possible Theta Aurora (polar cap only, >75° latitude)"
46,Quiet,0-2,Strong Northward,>+10 nT,Weak,5-10 nT,Extreme,>800 km/s,Very Low,<3 p/cm³,0.9,,,,>70°,0,⚫ NO AURORA,⚠️ RARE BUT POSSIBLE,RARE: Extreme speed with low density (rarefied HSS),Very unlikely (0-10%),QUIET: No Activity,"Possible Theta Aurora (polar cap only, >75° latitude)"
47,Quiet,0-2,Strong Northward,>+10 nT,Weak,5-10 nT,Extreme,>800 km/s,Low,3-7 p/cm³,0.9,,,,>70°,0,⚫ NO AURORA,✅ PHYSICALLY VALID,Normal conditions,Very unlikely (0-10%),QUIET: No Activity,"Possible Theta Aurora (polar cap only, >75° latitude)"
48,Quiet,0-2,Strong Northward,>+10 nT,Weak,5-10 nT,Extreme,>800 km/s,Normal,7-15 p/cm³,1.0,,,,>70°,0,⚫ NO AURORA,✅ PHYSICALLY VALID,Normal conditions,Very unlikely (0-10%),QUIET: No Activity,"Possible Theta Aurora (polar cap only, >75° latitude)"
49,Quiet,0-2,Strong Northward,>+10 nT,Weak,5-10 nT,Extreme,>800 km/s,High,15-25 p/cm³,1.1,,,,>70°,0,⚫ NO AURORA,✅ PHYSICALLY VALID,Normal conditions,Very unlikely (0-10%),QUIET: No Activity,"Possible Theta Aurora (polar cap only, >75° latitude)"
50,Quiet,0-2,Strong Northward,>+10 nT,Weak,5-10 nT,Extreme,>800 km/s,Very High,>25 p/cm³,1.1,,,,>70°,0,⚫ NO AURORA,✅ PHYSICALLY VALID,Normal conditions,Very unlikely (0-10%),QUIET: No Activity,"Possible Theta Aurora (polar cap only, >75° latitude)"
51,Quiet,0-2,Strong Northward,>+10 nT,Moderate,10-15 nT,Slow,<400 km/s,Very Low,<3 p/cm³,0.4,,,,>70°,0,⚫ NO AURORA,✅ PHYSICALLY VALID,Normal conditions,Very unlikely (0-10%),QUIET: No Activity,"Possible Theta Aurora (polar cap only, >75° latitude)"
52,Quiet,0-2,Strong Northward,>+10 nT,Moderate,10-15 nT,Slow,<400 km/s,Low,3-7 p/cm³,0.4,,,,>70°,0,⚫ NO AURORA,✅ PHYSICALLY VALID,Normal conditions,Very unlikely (0-10%),QUIET: No Activity,"Possible Theta Aurora (polar cap only, >75° latitude)"
53,Quiet,0-2,Strong Northward,>+10 nT,Moderate,10-15 nT,Slow,<400 km/s,Normal,7-15 p/cm³,0.4,,,,>70°,0,⚫ NO AURORA,✅ PHYSICALLY VALID,Normal conditions,Very unlikely (0-10%),QUIET: No Activity,"Possible Theta Aurora (polar cap only, >75° latitude)"
54,Quiet,0-2,Strong Northward,>+10 nT,Moderate,10-15 nT,Slow,<400 km/s,High,15-25 p/cm³,0.5,,,,>70°,0,⚫ NO AURORA,✅ PHYSICALLY VALID,Normal conditions,Very unlikely (0-10%),QUIET: No Activity,"Possible Theta Aurora (polar cap only, >75° latitude)"
55,Quiet,0-2,Strong Northward,>+10 nT,Moderate,10-15 nT,Slow,<400 km/s,Very High,>25 p/cm³,0.5,,,,>70°,0,⚫ NO AURORA,⚠️ RARE BUT POSSIBLE,UNUSUAL: High density with slow speed,Very unlikely (0-10%),QUIET: No Activity,"Possible Theta Aurora (polar cap only, >75° latitude)"
56,Quiet,0-2,Strong Northward,>+10 nT,Moderate,10-15 nT,Moderate,400-500 km/s,Very Low,<3 p/cm³,0.5,,,,>70°,0,⚫ NO AURORA,✅ PHYSICALLY VALID,Normal conditions,Very unlikely (0-10%),QUIET: No Activity,"Possible Theta Aurora (polar cap only, >75° latitude)"
